year,yearly_avg_temperature,yearly_min_temperature,yearly_max_temperature,yearly_min_rainfall,yearly_max_rainfall,yearly_avg_rainfall,yearly_total_rainfall
1980,27.04562841530055,21.6,31.5,0.0,51.1,3.152732240437159,1153.9
1981,27.395616438356164,22.9,31.7,0.0,26.2,2.6695890410958905,974.4
1982,27.23945205479452,23.1,31.3,0.0,35.2,2.4457534246575343,892.7
1983,28.174520547945207,23.1,33.5,0.0,59.6,2.0,730.0
1984,27.349453551912568,23.1,32.3,0.0,28.4,3.2453551912568304,1187.8
1985,26.90904109589041,22.8,32.2,0.0,45.1,3.564657534246575,1301.1
1986,27.004657534246576,22.5,31.4,0.0,93.8,3.198356164383562,1167.4
1987,28.043835616438358,22.8,32.2,0.0,71.4,3.0484931506849318,1112.7
1988,27.47814207650273,22.4,32.6,0.0,36.3,3.259289617486339,1192.9
1989,27.241917808219178,22.0,32.1,0.0,85.3,3.8438356164383563,1403.0
1990,27.52849315068493,22.5,33.2,0.0,27.9,2.879178082191781,1050.9
1991,27.174794520547945,22.9,31.3,0.0,33.1,3.4323287671232876,1252.8
1992,27.214207650273224,23.1,31.7,0.0,59.3,2.3666666666666667,866.2
1993,27.21095890410959,23.0,31.1,0.0,39.1,3.1139726027397256,1136.6
1994,27.267123287671232,22.6,31.7,0.0,35.3,3.067945205479452,1119.8
1995,27.372328767123285,23.3,31.8,0.0,57.9,3.594794520547945,1312.1
1996,27.523497267759563,22.4,31.7,0.0,139.9,3.112295081967213,1139.1
1997,27.559452054794523,22.9,32.1,0.0,50.6,2.7013698630136984,986.0
1998,28.30958904109589,23.3,33.7,0.0,51.6,2.76,1007.4
1999,27.25178082191781,22.8,31.7,0.0,47.8,3.447945205479452,1258.5
2000,27.74262295081967,23.4,32.8,0.0,30.5,2.5185792349726777,921.8
2001,28.067671232876716,22.7,32.5,0.0,22.5,1.7457534246575344,637.2
2002,27.86356164383562,22.9,32.9,0.0,34.3,2.6213698630136983,956.8
2003,28.051506849315068,23.0,33.1,0.0,21.5,2.5657534246575344,936.5
2004,27.950819672131146,22.9,32.0,0.0,65.1,2.463934426229508,901.8
2005,28.035342465753423,22.0,32.6,0.0,120.4,2.696164383561644,984.1
2006,28.18849315068493,23.3,32.3,0.0,69.0,2.272876712328767,829.6
2007,28.083835616438357,22.5,33.3,0.0,72.2,2.5556164383561644,932.8
2008,27.880054644808745,22.5,31.9,0.0,41.5,2.4549180327868854,898.5
2009,27.99205479452055,22.4,32.4,0.0,33.5,2.5235616438356163,921.1
2010,28.048219178082192,23.0,32.8,0.0,23.9,2.797808219178082,1021.2
2011,27.696164383561644,22.6,31.5,0.0,97.8,2.990684931506849,1091.6
2012,27.501639344262298,22.8,32.2,0.0,60.4,2.8584699453551914,1046.2
2013,27.757808219178084,22.7,32.6,0.0,84.5,2.621917808219178,957.0
2014,27.7986301369863,23.4,31.7,0.0,65.1,2.855342465753425,1042.2
2015,28.026849315068493,23.7,32.0,0.0,40.0,2.2024657534246574,803.9
2016,28.353825136612024,23.2,33.2,0.0,61.4,2.8308743169398904,1036.1
2017,28.159178082191783,23.5,32.8,0.0,35.9,2.511780821917808,916.8
2018,27.46027397260274,23.2,31.3,0.0,38.1,2.9591780821917806,1080.1
2019,28.121917808219177,23.5,32.6,0.0,34.4,3.6424657534246574,1329.5
2020,27.987704918032787,23.6,32.4,0.0,35.1,2.8155737704918034,1030.5
2021,28.14246575342466,23.5,32.5,0.0,115.8,3.261369863013699,1190.4
2022,27.475890410958907,22.9,32.7,0.0,94.2,3.46986301369863,1266.5
2023,27.744657534246574,23.6,32.4,0.0,86.6,3.7180821917808218,1357.1
2024,28.183060109289617,23.7,32.7,0.0,36.1,3.1008196721311476,1134.9
2025,29.5,29.5,29.5,0.0,0.0,0.0,0.0
